Family,Father,Mother,Gender,Height,Kids
1,78.5,67,M,73.2,4
1,78.5,67,F,69.2,4
1,78.5,67,F,69,4
1,78.5,67,F,69,4
2,75.5,66.5,M,73.5,4
2,75.5,66.5,M,72.5,4
2,75.5,66.5,F,65.5,4
2,75.5,66.5,F,65.5,4
3,75,64,M,71,2
3,75,64,F,68,2
4,75,64,M,70.5,5
4,75,64,M,68.5,5
4,75,64,F,67,5
4,75,64,F,64.5,5
4,75,64,F,63,5
5,75,58.5,M,72,6
5,75,58.5,M,69,6
5,75,58.5,M,68,6
5,75,58.5,F,66.5,6
5,75,58.5,F,62.5,6
5,75,58.5,F,62.5,6
6,74,68,F,69.5,1
7,74,68,M,76.5,6
7,74,68,M,74,6
7,74,68,M,73,6
7,74,68,M,73,6
7,74,68,F,70.5,6
7,74,68,F,64,6
8,74,66.5,F,70.5,3
8,74,66.5,F,68,3
8,74,66.5,F,66,3
9,74.5,66,F,66,1
10,74,65.5,F,65.5,1
11,74,62,M,74,8
11,74,62,M,70,8
11,74,62,F,68,8
11,74,62,F,67,8
11,74,62,F,67,8
11,74,62,F,66,8
11,74,62,F,63.5,8
11,74,62,F,63,8
12,74,61,F,65,1
14,73,67,M,68,2
14,73,67,M,67,2
15,73,66.5,M,71,3
15,73,66.5,M,70.5,3
15,73,66.5,F,66.7,3
16,73,65,M,72,9
16,73,65,M,70.5,9
16,73,65,M,70.2,9
16,73,65,M,70.2,9
16,73,65,M,69.2,9
16,73,65,F,68.7,9
16,73,65,F,66.5,9
16,73,65,F,64.5,9
16,73,65,F,63.5,9
17,73,64.5,M,74,6
17,73,64.5,M,73,6
17,73,64.5,M,71.5,6
17,73,64.5,M,62.5,6
17,73,64.5,F,66.5,6
17,73,64.5,F,62.3,6
18,73,64,F,66,3
18,73,64,F,64.5,3
18,73,64,F,64,3
19,73.2,63,F,62.7,1
20,72.7,69,M,73.2,8
20,72.7,69,M,73,8
20,72.7,69,M,72.7,8
20,72.7,69,F,70,8
20,72.7,69,F,69,8
20,72.7,69,F,68.5,8
20,72.7,69,F,68,8
20,72.7,69,F,66,8
21,72,68,M,73,3
21,72,68,F,68.5,3
21,72,68,F,68,3
22,72,67,M,73,3
22,72,67,M,71,3
22,72,67,F,67,3
23,72,65,M,74.2,7
23,72,65,M,70.5,7
23,72,65,M,69.5,7
23,72,65,F,66,7
23,72,65,F,65.5,7
23,72,65,F,65,7
23,72,65,F,65,7
24,72,65.5,F,65.5,1
25,72,64,F,66,2
25,72,64,F,63,2
26,72,63,M,70.5,5
26,72,63,M,70.5,5
26,72,63,M,69,5
26,72,63,F,65,5
26,72,63,F,63,5
27,72,63,M,69,3
27,72,63,M,67,3
27,72,63,F,63,3
28,72,63,M,73,6
28,72,63,M,67,6
28,72,63,F,70.5,6
28,72,63,F,70,6
28,72,63,F,66.5,6
28,72,63,F,63,6
29,72.5,63.5,F,67.5,3
29,72.5,63.5,F,67.2,3
29,72.5,63.5,F,66.7,3
30,72,62,F,64,1
31,72.5,62,M,71,6
31,72.5,62,M,70,6
31,72.5,62,M,70,6
31,72.5,62,F,66,6
31,72.5,62,F,65,6
31,72.5,62,F,65,6
32,72,62,M,74,5
32,72,62,M,72,5
32,72,62,M,69,5
32,72,62,F,67.5,5
32,72,62,F,63.5,5
33,72,62,M,72,5
33,72,62,M,71.5,5
33,72,62,M,71.5,5
33,72,62,M,70,5
33,72,62,F,68,5
34,72,61,F,65.7,1
35,71,69,M,78,5
35,71,69,M,74,5
35,71,69,M,73,5
35,71,69,M,72,5
35,71,69,F,67,5
36,71,67,M,73.2,4
36,71,67,M,73,4
36,71,67,M,69,4
36,71,67,F,67,4
37,71,66,M,70,4
37,71,66,F,67,4
37,71,66,F,67,4
37,71,66,F,66.5,4
38,71,66,M,70,6
38,71,66,M,69,6
38,71,66,M,68.5,6
38,71,66,F,66,6
38,71,66,F,64.5,6
38,71,66,F,63,6
39,71,66,M,71,2
39,71,66,F,67,2
40,71,66,M,76,5
40,71,66,M,72,5
40,71,66,M,71,5
40,71,66,M,66,5
40,71,66,F,66,5
41,71.7,65.5,M,70.5,1
42,71,65.5,M,72,6
42,71,65.5,M,72,6
42,71,65.5,M,71,6
42,71,65.5,M,69,6
42,71,65.5,F,66,6
42,71,65.5,F,65,6
43,71.5,65.5,M,73,2
43,71.5,65.5,F,65.2,2
44,71.5,65,M,68.5,2
44,71.5,65,M,67.7,2
45,71,65,M,68,3
45,71,65,M,68,3
45,71,65,F,62,3
46,71,64,F,68,8
46,71,64,F,68,8
46,71,64,F,67.5,8
46,71,64,F,66.5,8
46,71,64,F,66.5,8
46,71,64,F,66,8
46,71,64,F,65.5,8
46,71,64,F,65,8
47,71.7,64.5,M,72,4
47,71.7,64.5,M,71,4
47,71.7,64.5,M,70.5,4
47,71.7,64.5,F,67,4
48,71,64,M,68,3
48,71,64,M,68,3
48,71,64,M,68,3
49,71.5,64.5,M,72,7
49,71.5,64.5,M,71,7
49,71.5,64.5,M,70,7
49,71.5,64.5,F,66,7
49,71.5,64.5,F,64.5,7
49,71.5,64.5,F,64.5,7
49,71.5,64.5,F,62,7
51,71.2,63,F,67.5,2
51,71.2,63,F,64.5,2
52,71,63.5,M,71,5
52,71,63.5,M,67,5
52,71,63.5,F,66,5
52,71,63.5,F,65,5
52,71,63.5,F,63.5,5
53,71,63,M,71,9
53,71,63,M,70,9
53,71,63,M,70,9
53,71,63,M,64,9
53,71,63,F,65,9
53,71,63,F,65,9
53,71,63,F,64,9
53,71,63,F,63,9
53,71,63,F,63,9
54,71,63,M,71,4
54,71,63,M,71,4
54,71,63,M,70,4
54,71,63,F,63.5,4
55,71,62,M,71,5
55,71,62,M,70,5
55,71,62,F,64.5,5
55,71,62,F,62.5,5
55,71,62,F,61.5,5
56,71,62,M,72,5
56,71,62,M,70.5,5
56,71,62,M,70.5,5
56,71,62,F,64.5,5
56,71,62,F,60,5
57,71,62.5,M,70,5
57,71,62.5,F,64,5
57,71,62.5,F,64,5
57,71,62.5,F,64,5
57,71,62.5,F,62.5,5
58,71,62,M,70.5,7
58,71,62,M,70,7
58,71,62,M,69,7
58,71,62,M,69,7
58,71,62,M,66,7
58,71,62,F,64.5,7
58,71,62,F,64,7
59,71,61,F,62,1
60,71,58,M,71.5,2
60,71,58,M,69,2
61,70,69,M,71,4
61,70,69,M,70,4
61,70,69,M,69,4
61,70,69,F,69,4
62,70,69,M,70,6
62,70,69,M,68.7,6
62,70,69,F,68,6
62,70,69,F,66,6
62,70,69,F,64,6
62,70,69,F,62,6
63,70,68,M,75,1
64,70,67,M,70,5
64,70,67,M,69,5
64,70,67,F,66,5
64,70,67,F,64,5
64,70,67,F,60,5
65,70,67,F,67.5,1
66,70,66.5,M,73,11
66,70,66.5,M,72,11
66,70,66.5,M,72,11
66,70,66.5,M,66.5,11
66,70,66.5,F,69.2,11
66,70,66.5,F,67.2,11
66,70,66.5,F,66.5,11
66,70,66.5,F,66,11
66,70,66.5,F,66,11
66,70,66.5,F,64.2,11
66,70,66.5,F,63.7,11
67,70.5,65,M,72,4
67,70.5,65,M,70.2,4
67,70.5,65,M,69,4
67,70.5,65,M,68.5,4
68,70.5,65,F,68,5
68,70.5,65,F,65,5
68,70.5,65,F,61.5,5
68,70.5,65,F,61,5
68,70.5,65,F,61,5
69,70,65,M,73,8
69,70,65,M,72,8
69,70,65,M,70.5,8
69,70,65,M,65,8
69,70,65,M,65,8
69,70,65,F,64.5,8
69,70,65,F,63,8
69,70,65,F,62,8
70,70,65,M,67,5
70,70,65,M,65,5
70,70,65,F,64.5,5
70,70,65,F,62.5,5
70,70,65,F,62.5,5
71,70,65,M,70,6
71,70,65,M,70,6
71,70,65,F,67,6
71,70,65,F,65,6
71,70,65,F,65,6
71,70,65,F,63,6
72,70,65,M,79,7
72,70,65,M,75,7
72,70,65,M,71,7
72,70,65,F,69,7
72,70,65,F,67,7
72,70,65,F,65.7,7
72,70,65,F,62,7
73,70,65,M,73,3
73,70,65,M,72.5,3
73,70,65,F,65,3
74,70,65,M,69,2
74,70,65,M,69,2
75,70,64.7,M,72,7
75,70,64.7,M,70,7
75,70,64.7,M,68.7,7
75,70,64.7,F,66.5,7
75,70,64.7,F,65.5,7
75,70,64.7,F,64.7,7
75,70,64.7,F,64.5,7
76,70,64,M,70.7,7
76,70,64,M,70,7
76,70,64,M,68,7
76,70,64,M,67,7
76,70,64,M,66,7
76,70,64,M,65,7
76,70,64,F,67,7
77,70,64,M,70,4
77,70,64,M,68,4
77,70,64,M,66.7,4
77,70,64,F,65.5,4
78,70,64.2,M,72,5
78,70,64.2,M,70,5
78,70,64.2,F,62.5,5
78,70,64.2,F,61.2,5
78,70,64.2,F,60.1,5
79,70.5,64,M,74,8
79,70.5,64,M,69.5,8
79,70.5,64,M,69,8
79,70.5,64,M,68,8
79,70.5,64,M,68,8
79,70.5,64,M,68,8
79,70.5,64,F,65.5,8
79,70.5,64,F,65,8
80,70.5,64.5,F,60,1
81,70,64,M,68,4
81,70,64,F,65,4
81,70,64,F,64,4
81,70,64,F,62,4
82,70,64,M,71,9
82,70,64,M,70,9
82,70,64,M,70,9
82,70,64,M,70,9
82,70,64,M,69.5,9
82,70,64,M,68.5,9
82,70,64,F,69,9
82,70,64,F,65,9
82,70,64,F,64,9
83,70,63.7,M,70,8
83,70,63.7,M,67,8
83,70,63.7,M,65.5,8
83,70,63.7,F,63.7,8
83,70,63.7,F,63.2,8
83,70,63.7,F,62.5,8
83,70,63.7,F,62.2,8
83,70,63.7,F,61,8
85,70.5,63,M,72.5,5
85,70.5,63,M,69,5
85,70.5,63,M,67,5
85,70.5,63,F,64.5,5
85,70.5,63,F,64,5
86,70,63.5,M,71,4
86,70,63.5,M,67.5,4
86,70,63.5,F,67.5,4
86,70,63.5,F,63.5,4
87,70,63,M,68,4
87,70,63,M,67,4
87,70,63,F,63.7,4
87,70,63,F,62,4
88,70,63,M,70,4
88,70,63,M,66.5,4
88,70,63,F,62,4
88,70,63,F,61,4
89,70.5,62,M,72,8
89,70.5,62,M,70,8
89,70.5,62,M,69.5,8
89,70.5,62,M,69.5,8
89,70.5,62,M,68,8
89,70.5,62,F,65,8
89,70.5,62,F,64,8
89,70.5,62,F,63,8
90,70.3,62.7,M,70.7,7
90,70.3,62.7,M,69.7,7
90,70.3,62.7,M,69.2,7
90,70.3,62.7,M,65.2,7
90,70.3,62.7,F,64,7
90,70.3,62.7,F,63.5,7
90,70.3,62.7,F,63.2,7
91,70.5,62,M,72,3
91,70.5,62,M,72,3
91,70.5,62,F,60,3
92,70,61,M,71.2,2
92,70,61,M,67,2
93,70,60,M,67,4
93,70,60,M,64.5,4
93,70,60,F,65,4
93,70,60,F,63,4
94,70,60,F,65,2
94,70,60,F,65,2
95,70,58.5,M,71.5,3
95,70,58.5,M,64.5,3
95,70,58.5,F,63,3
96,70,58,M,72,5
96,70,58,M,66,5
96,70,58,F,66,5
96,70,58,F,65,5
96,70,58,F,63,5
97,69,68.5,M,75,10
97,69,68.5,M,71,10
97,69,68.5,M,70,10
97,69,68.5,F,66,10
97,69,68.5,F,66,10
97,69,68.5,F,65.5,10
97,69,68.5,F,65,10
97,69,68.5,F,65,10
97,69,68.5,F,64,10
97,69,68.5,F,64,10
98,69,67,F,64,1
99,69,66,M,73,8
99,69,66,M,72,8
99,69,66,M,71.7,8
99,69,66,M,71.5,8
99,69,66,F,65.5,8
99,69,66,F,65,8
99,69,66,F,62.7,8
99,69,66,F,62.5,8
100,69,66,M,71.2,3
100,69,66,M,71,3
100,69,66,M,70,3
101,69,66.7,M,75,6
101,69,66.7,M,74,6
101,69,66.7,M,72,6
101,69,66.7,M,68.5,6
101,69,66.7,M,67,6
101,69,66.7,M,66,6
102,69,66,M,70,6
102,69,66,M,68.5,6
102,69,66,M,68,6
102,69,66,F,65,6
102,69,66,F,63,6
102,69,66,F,62.5,6
103,69,66.5,M,73,5
103,69,66.5,M,71,5
103,69,66.5,M,70.5,5
103,69,66.5,M,70.5,5
103,69,66.5,F,61,5
104,69.5,66.5,M,70.5,4
104,69.5,66.5,M,67.5,4
104,69.5,66.5,F,64.5,4
104,69.5,66.5,F,64,4
105,69,66.5,M,71,6
105,69,66.5,F,68.5,6
105,69,66.5,F,67.5,6
105,69,66.5,F,66,6
105,69,66.5,F,63,6
105,69,66.5,F,63,6
106,69.5,66,M,71,7
106,69.5,66,M,71,7
106,69.5,66,M,70.5,7
106,69.5,66,M,70.5,7
106,69.5,66,F,66.5,7
106,69.5,66,F,65.5,7
106,69.5,66,F,64.5,7
107,69,66,M,73,9
107,69,66,M,72,9
107,69,66,M,69,9
